Model,Accuracy,Precision,Recall,F1,ROC-AUC,Log-Loss
Logistic Regression,0.6458044862918859,0.5926558497011102,0.623932392340196,0.6078920860158542,0.7031624847297241,0.624911185915019
Random Forest,0.648336432329786,0.5979309135542696,0.6131439359884923,0.6054418749167739,0.7002715000841427,0.6297226038587246
XGBoost,0.6577125450013847,0.6048366567670768,0.6408343072911984,0.6223153483499214,0.7191254054643091,0.6105617131272034
Attention-LSTM,0.6530838311508486,0.5996106973595126,0.6369684437651713,0.6177252713718994,0.7172264686958756,0.6111043141286457
XGB+LSTM Weighted,0.6608379158919175,0.6089743589743589,0.6405645958824058,0.6243701529159181,0.7235435891988959,0.6063155369687513
XGB+LSTM Stacking,0.6630929303319223,0.6338983050847458,0.5547963678863616,0.5917154089557963,0.7235852572042107,0.6043390293384223
RF+LSTM Weighted,0.6585037781382285,0.6077515355999654,0.6315742155893195,0.619433912353408,0.7192505333409402,0.6111626400986215
